,CH1,CH2
Second,Volt,Volt
9.44000e-04,-9.60e-01,-4.00e-02, 
9.48000e-04,-9.60e-01,-2.00e-02, 
9.52000e-04,-9.60e-01,-2.00e-02, 
9.56000e-04,-9.00e-01,-4.00e-02, 
9.60000e-04,-9.00e-01,-4.00e-02, 
9.64000e-04,-7.80e-01,-4.00e-02, 
9.68000e-04,-7.60e-01,-4.00e-02, 
9.72000e-04,-6.00e-01,-6.00e-02, 
9.76000e-04,-6.00e-01,-6.00e-02, 
9.80000e-04,-4.20e-01,-4.00e-02, 
9.84000e-04,-3.80e-01,-6.00e-02, 
9.88000e-04,-1.60e-01,-4.00e-02, 
9.92000e-04,-1.60e-01,-6.00e-02, 
9.96000e-04,6.00e-02,-4.00e-02, 
1.00000e-03,1.00e-01,-6.00e-02, 
1.00400e-03,3.20e-01,-4.00e-02, 
1.00800e-03,3.40e-01,-6.00e-02, 
1.01200e-03,5.40e-01,-6.00e-02, 
1.01600e-03,5.40e-01,-4.00e-02, 
1.02000e-03,7.00e-01,-6.00e-02, 
1.02400e-03,7.40e-01,-4.00e-02, 
1.02800e-03,9.00e-01,-4.00e-02, 
1.03200e-03,8.80e-01,-4.00e-02, 
1.03600e-03,9.80e-01,-2.00e-02, 
1.04000e-03,9.80e-01,-2.00e-02, 
1.04400e-03,1.00e+00,-4.00e-02, 
1.04800e-03,1.00e+00,-2.00e-02, 
1.05200e-03,9.80e-01,-4.00e-02, 
1.05600e-03,9.60e-01,-2.00e-02, 
1.06000e-03,8.80e-01,-2.00e-02, 
1.06400e-03,8.60e-01,-2.00e-02, 
1.06800e-03,7.60e-01,-2.00e-02, 
1.07200e-03,7.20e-01,-2.00e-02, 
1.07600e-03,5.40e-01,-2.00e-02, 
1.08000e-03,5.40e-01,-2.00e-02, 
1.08400e-03,3.40e-01,-2.00e-02, 
1.08800e-03,3.20e-01,-2.00e-02, 
1.09200e-03,8.00e-02,-2.00e-02, 
1.09600e-03,4.00e-02,-2.00e-02, 
1.10000e-03,-1.60e-01,-2.00e-02, 
1.10400e-03,-1.60e-01,-2.00e-02, 
1.10800e-03,-3.80e-01,-2.00e-02, 
1.11200e-03,-4.00e-01,-2.00e-02, 
1.11600e-03,-6.00e-01,-2.00e-02, 
1.12000e-03,-6.20e-01,-2.00e-02, 
1.12400e-03,-7.60e-01,-2.00e-02, 
1.12800e-03,-7.60e-01,-2.00e-02, 
1.13200e-03,-8.80e-01,-2.00e-02, 
1.13600e-03,-9.00e-01,-2.00e-02, 
1.14000e-03,-9.60e-01,-4.00e-02, 
1.14400e-03,-9.40e-01,-2.00e-02, 
1.14800e-03,-9.80e-01,-4.00e-02, 
1.15200e-03,-9.60e-01,-4.00e-02, 
1.15600e-03,-8.80e-01,-4.00e-02, 
1.16000e-03,-9.00e-01,-4.00e-02, 
1.16400e-03,-7.80e-01,-6.00e-02, 
1.16800e-03,-7.60e-01,-4.00e-02, 
1.17200e-03,-6.00e-01,-6.00e-02, 
1.17600e-03,-6.00e-01,-4.00e-02, 
1.18000e-03,-4.20e-01,-6.00e-02, 
1.18400e-03,-3.80e-01,-4.00e-02, 
1.18800e-03,-1.80e-01,-6.00e-02, 
1.19200e-03,-1.60e-01,-6.00e-02, 
1.19600e-03,8.00e-02,-6.00e-02, 
