,CH1,CH2
Second,Volt,Volt
2.08000e-01,-6.00e-01,-6.60e-01, 
2.12000e-01,-6.60e-01,-7.20e-01, 
2.16000e-01,-7.20e-01,-7.60e-01, 
2.20000e-01,-7.60e-01,-8.00e-01, 
2.24000e-01,-8.00e-01,-8.60e-01, 
2.28000e-01,-8.60e-01,-9.00e-01, 
2.32000e-01,-8.60e-01,-9.00e-01, 
2.36000e-01,-8.80e-01,-9.40e-01, 
2.40000e-01,-9.00e-01,-9.60e-01, 
2.44000e-01,-9.60e-01,-1.00e+00, 
2.48000e-01,-9.60e-01,-9.80e-01, 
2.52000e-01,-9.40e-01,-1.02e+00, 
2.56000e-01,-9.60e-01,-1.02e+00, 
2.60000e-01,-9.40e-01,-9.80e-01, 
2.64000e-01,-9.60e-01,-1.00e+00, 
2.68000e-01,-9.20e-01,-9.80e-01, 
2.72000e-01,-9.00e-01,-9.40e-01, 
2.76000e-01,-8.60e-01,-9.20e-01, 
2.80000e-01,-8.20e-01,-8.80e-01, 
2.84000e-01,-7.60e-01,-8.20e-01, 
2.88000e-01,-7.80e-01,-8.20e-01, 
2.92000e-01,-7.20e-01,-7.80e-01, 
2.96000e-01,-6.60e-01,-7.20e-01, 
3.00000e-01,-6.00e-01,-6.60e-01, 
3.04000e-01,-5.40e-01,-6.00e-01, 
3.08000e-01,-4.60e-01,-5.20e-01, 
3.12000e-01,-4.80e-01,-5.20e-01, 
3.16000e-01,-3.00e-01,-3.60e-01, 
3.20000e-01,-3.00e-01,-3.60e-01, 
3.24000e-01,-2.40e-01,-3.00e-01, 
3.28000e-01,-1.40e-01,-2.00e-01, 
3.32000e-01,-4.00e-02,-1.00e-01, 
3.36000e-01,-4.00e-02,-1.20e-01, 
3.40000e-01,1.20e-01,6.00e-02, 
3.44000e-01,1.20e-01,6.00e-02, 
3.48000e-01,2.20e-01,1.40e-01, 
3.52000e-01,2.80e-01,2.20e-01, 
3.56000e-01,3.80e-01,3.00e-01, 
3.60000e-01,4.40e-01,3.80e-01, 
3.64000e-01,5.20e-01,4.60e-01, 
3.68000e-01,5.40e-01,4.60e-01, 
3.72000e-01,6.60e-01,6.00e-01, 
3.76000e-01,6.60e-01,6.00e-01, 
3.80000e-01,7.40e-01,6.60e-01, 
3.84000e-01,7.60e-01,7.00e-01, 
3.88000e-01,8.40e-01,7.80e-01, 
